Churn,Tenure,PreferredLoginDevice,CityTier,WarehouseToHome,PreferredPaymentMode,Gender,HourSpendOnApp,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,OrderAmountHikeFromlastYear,CouponUsed,OrderCount,DaySinceLastOrder,CashbackAmount,OrderFrequency,CustomerValue,InactivityScore,ComplaintRate,EngagementScore
0,12.0,2,1,16.0,4,0,4.0,4,4,1,2,3,0,13.0,2.0,3.0,2.0,147.88,0.2307692307692307,443.64,0.1538461538461538,0.0,12.0
0,22.0,1,3,9.0,5,0,3.0,4,2,1,1,4,0,15.0,7.0,7.0,8.0,165.51,0.3043478260869565,1158.57,0.3478260869565217,0.0,21.0
1,0.0,2,1,9.0,3,1,3.0,3,4,5,1,6,0,13.0,1.0,1.0,2.0,140.31,1.0,140.31,2.0,0.0,3.0
0,3.0,1,1,13.0,3,0,3.0,4,4,1,1,3,0,14.0,1.0,2.0,9.0,156.31,0.5,312.62,2.25,0.0,6.0
0,23.0,0,1,28.0,3,1,2.0,5,1,1,2,2,1,13.0,1.0,2.0,9.0,244.11,0.2857142857142857,322.34,0.375,0.0,6.0
0,14.0,0,3,9.0,3,1,4.0,4,2,4,0,7,0,13.0,2.0,2.0,1.0,168.27,0.1333333333333333,336.54,0.0666666666666666,0.0,8.0
0,7.0,0,1,12.0,4,0,4.0,4,0,4,0,8,0,12.0,3.0,2.0,9.0,243.78,0.2857142857142857,322.34,1.125,0.0,6.0
1,9.0,0,1,8.0,4,1,2.0,3,3,5,0,7,1,14.0,1.0,1.0,2.0,120.42,0.2857142857142857,120.42,0.4705882352941176,0.5,2.0
1,0.0,1,3,6.0,4,1,2.0,4,0,3,1,6,0,11.0,5.0,11.0,46.0,206.09,11.0,2266.99,46.0,0.0,22.0
1,1.0,2,1,31.0,3,1,3.0,4,4,4,1,3,1,18.0,1.0,2.0,1.0,149.08,1.0,298.16,0.5,0.3333333333333333,6.0
0,13.0,2,3,20.0,4,0,2.0,3,2,5,1,2,0,15.0,0.0,1.0,2.0,146.39,0.0714285714285714,146.39,0.1428571428571428,0.0,2.0
0,12.0,1,3,27.0,4,1,2.0,4,2,2,0,4,1,12.0,0.0,1.0,4.0,161.2,0.0769230769230769,161.2,0.3076923076923077,0.5,2.0
0,9.0,2,1,33.0,0,0,3.0,3,3,4,2,3,0,15.0,0.0,1.0,2.0,123.11,0.2857142857142857,123.11,0.4705882352941176,0.0,3.0
0,9.0,1,1,34.0,4,1,3.0,4,2,3,1,4,0,17.0,2.0,2.0,8.0,193.83,0.2,387.66,0.8,0.0,6.0
0,4.0,0,1,30.0,1,0,1.0,3,2,1,2,3,0,20.0,0.0,1.0,4.0,152.38,0.2,152.38,0.8,0.0,1.0
0,12.0,2,1,30.0,4,1,2.0,3,2,1,2,8,0,13.0,1.0,1.0,7.0,141.08,0.0769230769230769,141.08,0.5384615384615384,0.0,2.0
1,0.0,2,1,13.0,0,1,2.0,3,3,3,1,2,0,20.0,1.0,1.0,0.0,123.77,1.0,123.77,0.0,0.0,2.0
0,0.0,2,1,7.0,0,1,3.0,3,3,5,2,1,0,13.0,7.0,7.0,6.0,128.67,7.0,900.6899999999999,6.0,0.0,6.0
0,11.0,1,3,9.0,4,1,2.0,3,2,2,2,9,1,12.0,1.0,1.0,0.0,168.61,0.0833333333333333,168.61,0.0,0.5,2.0
0,11.0,0,3,11.0,5,1,3.0,4,4,1,1,6,0,18.0,4.0,6.0,9.0,152.93,0.5,917.58,0.75,0.0,18.0
1,5.0,0,1,12.0,4,1,4.0,5,4,5,1,8,0,18.0,1.0,2.0,1.0,146.07,0.3333333333333333,292.14,0.1666666666666666,0.0,8.0
1,1.0,1,1,18.0,3,0,4.0,5,4,5,2,3,1,16.0,2.0,2.0,1.0,151.0,1.0,302.0,0.5,0.3333333333333333,8.0
0,7.0,2,1,13.0,0,1,3.0,3,3,1,2,2,0,13.0,0.0,1.0,0.0,129.72,0.125,129.72,0.0,0.0,6.0
0,9.0,0,1,9.0,4,1,2.0,3,3,1,1,5,0,15.0,1.0,1.0,4.0,120.97,0.2857142857142857,120.97,0.4705882352941176,0.0,2.0
0,8.0,2,3,6.0,3,0,3.0,3,2,3,2,2,0,16.0,1.0,1.0,3.0,148.59,0.1111111111111111,148.59,0.3333333333333333,0.0,3.0
0,22.0,1,1,17.0,4,1,4.0,5,5,4,1,6,0,15.0,4.0,13.0,10.0,321.65,0.5652173913043478,4181.45,0.4347826086956521,0.0,52.0
0,16.0,1,1,20.0,4,1,3.0,3,1,5,1,7,0,24.0,1.0,1.0,0.0,271.59,0.0588235294117647,271.59,0.0,0.0,3.0
0,9.0,1,1,34.0,4,1,3.0,4,2,3,1,4,0,17.0,2.0,2.0,8.0,193.83,0.2,387.66,0.8,0.0,6.0
0,11.0,1,1,8.0,3,0,2.0,4,0,3,1,4,1,19.0,0.0,1.0,2.0,177.56,0.0833333333333333,177.56,0.1666666666666666,0.5,2.0
0,11.0,2,1,15.0,4,1,3.0,3,4,1,1,3,0,19.0,1.0,1.0,3.0,147.71,0.0833333333333333,147.71,0.25,0.0,3.0
0,9.0,0,1,11.0,6,1,3.0,5,4,2,0,3,0,14.0,3.0,3.0,3.0,148.76,0.3,446.28,0.3,0.0,9.0
0,8.0,1,3,35.0,5,0,4.0,5,2,3,1,3,0,22.0,2.0,2.0,8.0,192.12,0.2222222222222222,384.24,0.8888888888888888,0.0,8.0
0,8.0,2,1,22.0,6,0,2.0,4,2,4,1,1,1,11.0,0.0,1.0,2.0,147.88,0.1111111111111111,147.88,0.2222222222222222,0.5,2.0
0,2.0,2,1,19.0,6,1,2.0,4,2,4,1,5,1,13.0,0.0,1.0,3.0,140.25,0.3333333333333333,140.25,1.0,0.5,2.0
0,18.0,0,1,13.0,4,1,3.0,3,0,5,1,2,0,18.0,5.0,9.0,11.0,152.1,0.4736842105263157,1368.9,0.5789473684210527,0.0,27.0
0,11.0,1,1,35.0,1,1,2.0,3,2,2,0,4,0,18.0,0.0,1.0,7.0,162.61,0.0833333333333333,162.61,0.5833333333333334,0.0,2.0
0,0.0,2,3,16.0,3,1,2.0,3,2,1,2,2,0,13.0,1.0,1.0,2.0,146.84,1.0,146.84,2.0,0.0,2.0
0,9.0,2,1,6.0,0,0,3.0,3,3,1,1,4,0,14.0,1.0,1.0,2.0,122.7,0.2857142857142857,122.7,0.4705882352941176,0.0,3.0
0,31.0,0,1,22.0,4,1,3.0,4,1,3,1,4,1,15.0,1.0,3.0,3.0,282.87,0.09375,848.61,0.09375,0.25,9.0
0,19.0,1,1,14.0,3,0,3.0,4,4,3,0,6,1,20.0,2.0,2.0,3.0,169.77,0.1,339.54,0.15,0.3333333333333333,6.0
0,10.0,1,1,13.0,4,0,3.0,2,4,1,1,5,0,13.0,1.0,2.0,1.0,155.38,0.1818181818181818,310.76,0.0909090909090909,0.0,6.0
0,10.0,2,1,17.0,3,0,3.0,3,4,3,2,5,0,18.0,0.0,1.0,2.0,136.29,0.0909090909090909,136.29,0.1818181818181818,0.0,3.0
0,4.0,1,1,15.0,4,0,4.0,2,0,5,0,2,1,13.0,1.0,2.0,8.0,239.16000000000005,0.2857142857142857,322.34,1.6,0.0,6.0
0,9.0,1,3,7.0,5,1,3.0,4,2,3,1,11,0,12.0,1.0,7.0,10.0,172.17,0.7,1205.1899999999998,1.0,0.0,21.0
0,4.0,0,1,13.0,4,0,2.0,4,0,3,1,2,0,24.0,7.0,8.0,9.0,189.43,1.6,1515.44,1.8,0.0,16.0
0,1.0,1,1,35.0,4,1,3.0,5,2,4,0,2,0,14.0,1.0,1.0,7.0,165.49,0.5,165.49,3.5,0.0,3.0
0,20.0,1,1,22.0,4,1,3.0,4,5,4,0,7,0,15.0,2.0,2.0,4.0,315.81,0.0952380952380952,631.62,0.1904761904761904,0.0,6.0
0,10.0,0,1,16.0,4,1,4.0,2,4,4,1,3,0,23.0,2.0,2.0,3.0,153.1,0.1818181818181818,306.2,0.2727272727272727,0.0,8.0
0,1.0,1,1,14.0,3,0,3.0,5,2,5,2,10,0,20.0,2.0,2.0,8.0,193.11,1.0,386.22,4.0,0.0,6.0
0,14.0,2,1,7.0,4,1,3.0,4,4,4,0,5,0,23.0,2.0,2.0,4.0,148.87,0.1333333333333333,297.74,0.2666666666666666,0.0,6.0
0,17.0,2,2,6.0,4,0,2.0,3,3,1,1,5,1,18.0,2.0,2.0,2.0,131.95,0.1111111111111111,263.9,0.1111111111111111,0.3333333333333333,4.0
0,14.0,2,1,9.0,3,1,4.0,4,4,3,1,4,0,15.0,1.0,2.0,3.0,148.45,0.1333333333333333,296.9,0.2,0.0,8.0
0,14.0,1,3,12.0,5,1,2.0,3,0,3,2,2,0,12.0,6.0,8.0,7.0,192.41,0.5333333333333333,1539.28,0.4666666666666667,0.0,16.0
0,7.0,0,1,7.0,6,0,3.0,2,2,4,1,3,1,14.0,2.0,2.0,3.0,179.88,0.25,359.76,0.375,0.3333333333333333,6.0
1,1.0,0,1,11.0,1,1,3.0,4,4,2,2,20,1,24.0,2.0,2.0,1.0,147.85,1.0,295.7,0.5,0.3333333333333333,6.0
0,8.0,2,3,17.0,4,0,3.0,4,4,3,0,3,1,20.0,1.0,2.0,1.0,147.2,0.2222222222222222,294.4,0.1111111111111111,0.3333333333333333,6.0
0,31.0,0,3,35.0,5,0,4.0,5,0,5,0,6,0,20.0,14.0,14.0,3.0,227.66,0.4375,3187.24,0.4705882352941176,0.0,56.0
0,1.0,2,1,22.0,4,1,4.0,4,4,1,2,3,0,15.0,2.0,2.0,1.0,137.32,1.0,274.64,0.5,0.0,8.0
0,0.0,2,3,8.0,4,1,3.0,3,2,3,2,2,1,11.0,1.0,1.0,4.0,144.78,1.0,144.78,4.0,0.5,3.0
0,8.0,1,1,14.0,3,1,3.0,4,4,1,2,3,0,14.0,1.0,2.0,1.0,154.72,0.2222222222222222,309.44,0.1111111111111111,0.0,6.0
1,9.0,1,3,15.0,5,1,2.0,3,0,1,1,5,0,11.0,4.0,4.0,3.0,200.96,0.4,803.84,0.3,0.0,8.0
0,18.0,0,3,12.0,3,0,2.0,4,0,1,2,7,0,12.0,5.0,12.0,8.0,188.65,0.631578947368421,2263.8,0.4210526315789473,0.0,24.0
1,13.0,0,3,6.0,6,1,2.0,3,2,3,2,4,1,14.0,1.0,1.0,0.0,147.28,0.0714285714285714,147.28,0.0,0.5,2.0
0,2.0,2,1,13.0,4,1,3.0,1,3,3,1,7,0,18.0,1.0,1.0,0.0,124.51,0.3333333333333333,124.51,0.0,0.0,3.0
1,1.0,0,3,9.0,4,0,3.0,5,4,2,2,9,0,15.0,1.0,2.0,1.0,152.85,1.0,305.7,0.5,0.0,6.0
0,2.0,1,1,36.0,4,1,4.0,6,2,4,1,3,0,15.0,1.0,2.0,8.0,190.49,0.6666666666666666,380.98,2.6666666666666665,0.0,8.0
0,3.0,1,3,17.0,5,0,3.0,5,2,4,1,3,1,15.0,1.0,2.0,8.0,207.68,0.5,415.36,2.0,0.3333333333333333,6.0
0,6.0,2,1,6.0,6,1,3.0,4,3,5,2,4,1,11.0,0.0,1.0,2.0,127.99,0.1428571428571428,127.99,0.2857142857142857,0.5,6.0
0,3.0,0,1,17.0,4,0,4.0,4,4,4,1,2,0,15.0,2.0,2.0,2.0,157.91,0.5,315.82,0.5,0.0,8.0
0,10.0,0,3,18.0,2,0,4.0,4,0,1,1,2,0,15.0,1.0,3.0,3.0,222.38,0.2727272727272727,667.14,0.4705882352941176,0.0,12.0
0,13.0,0,1,7.0,4,1,3.0,4,5,3,1,3,1,15.0,1.0,2.0,7.0,316.97,0.1428571428571428,633.94,0.5,0.3333333333333333,6.0
0,28.0,0,2,33.0,6,0,2.0,2,1,1,2,4,1,15.0,3.0,5.0,5.0,298.28,0.1724137931034483,1491.4,0.1724137931034483,0.1666666666666666,10.0
0,22.0,1,1,13.0,4,1,2.0,3,0,4,1,4,0,14.0,0.0,1.0,7.0,204.66,0.0434782608695652,204.66,0.3043478260869565,0.0,2.0
0,8.0,1,3,15.0,2,1,4.0,2,2,3,1,3,0,22.0,1.0,5.0,9.0,192.99,0.5555555555555556,964.95,1.0,0.0,20.0
0,1.0,0,1,22.0,4,0,4.0,5,4,5,1,2,0,20.0,1.0,8.0,4.0,172.74,4.0,1381.92,2.0,0.0,32.0
0,5.0,0,1,30.0,4,1,3.0,3,2,1,1,2,0,15.0,1.0,4.0,7.0,153.09,0.6666666666666666,612.36,1.1666666666666667,0.0,12.0
0,9.0,0,1,9.0,3,0,3.0,4,2,4,2,7,0,12.0,1.0,2.0,3.0,169.25,0.2,338.5,0.3,0.0,6.0
1,0.0,0,1,15.0,0,1,2.0,3,3,5,2,3,1,11.0,0.0,1.0,0.0,131.72,1.0,131.72,0.0,0.5,2.0
1,1.0,2,1,32.0,3,1,3.0,5,4,4,2,6,1,21.0,1.0,3.0,3.0,148.13,1.5,444.39,1.5,0.25,9.0
0,1.0,0,1,14.0,3,1,4.0,4,4,1,2,3,0,21.0,6.0,6.0,8.0,150.7,3.0,904.2,4.0,0.0,24.0
0,24.0,1,1,18.0,4,0,3.0,4,5,4,2,5,0,16.0,1.0,5.0,5.0,324.26,0.2,1621.3,0.2,0.0,15.0
0,7.0,0,3,29.0,5,1,3.0,3,2,3,2,1,0,20.0,0.0,8.0,7.0,145.68,1.0,1165.44,0.875,0.0,24.0
0,20.0,0,3,8.0,5,1,2.0,3,2,4,1,8,0,11.0,0.0,1.0,0.0,149.78,0.0476190476190476,149.78,0.0,0.0,2.0
0,2.0,0,1,23.0,3,1,3.0,4,4,3,2,3,0,15.0,1.0,2.0,5.0,146.44,0.6666666666666666,292.88,1.6666666666666667,0.0,6.0
0,17.0,0,1,17.0,4,0,3.0,5,2,3,1,3,0,12.0,2.0,2.0,1.0,177.57,0.1111111111111111,355.14,0.0555555555555555,0.0,6.0
1,0.0,2,1,13.0,0,1,2.0,4,3,1,2,2,1,13.0,0.0,1.0,1.0,123.89,1.0,123.89,1.0,0.5,2.0
0,16.0,0,1,16.0,3,0,4.0,4,4,1,2,3,0,14.0,1.0,6.0,9.0,161.73,0.3529411764705882,970.38,0.5294117647058824,0.0,24.0
0,9.0,0,1,9.0,4,0,4.0,4,2,5,1,4,0,12.0,2.0,2.0,1.0,175.93,0.2,351.86,0.1,0.0,8.0
0,6.0,2,1,9.0,3,0,4.0,4,4,4,1,3,0,14.0,1.0,2.0,8.0,148.7,0.2857142857142857,297.4,1.1428571428571428,0.0,8.0
1,0.0,2,1,13.0,0,0,3.0,3,3,5,1,2,1,17.0,0.0,1.0,0.0,123.98,1.0,123.98,0.0,0.5,3.0
0,13.0,2,1,8.0,4,1,3.0,4,3,3,2,3,0,14.0,0.0,2.0,2.0,128.09,0.1428571428571428,256.18,0.1428571428571428,0.0,6.0
1,21.0,0,1,9.0,4,1,3.0,5,4,1,1,11,1,15.0,2.0,2.0,1.0,148.8,0.0909090909090909,297.6,0.0454545454545454,0.3333333333333333,6.0
0,9.0,0,1,9.0,4,0,4.0,4,2,5,1,4,0,12.0,1.0,2.0,1.0,175.93,0.2,351.86,0.1,0.0,8.0
1,4.0,2,1,8.0,4,0,3.0,5,3,2,1,5,1,13.0,0.0,1.0,0.0,127.78,0.2,127.78,0.0,0.5,6.0
0,7.0,1,1,15.0,4,1,4.0,4,2,3,2,4,1,18.0,1.0,2.0,1.0,188.88,0.25,377.76,0.125,0.3333333333333333,8.0
0,4.0,0,1,6.0,3,1,2.0,5,2,3,1,1,0,12.0,0.0,1.0,4.0,143.45,0.2,143.45,0.8,0.0,2.0
0,19.0,1,1,36.0,2,1,3.0,4,0,1,0,6,1,19.0,2.0,2.0,3.0,218.8,0.1,437.6,0.4705882352941176,0.3333333333333333,6.0
0,26.0,0,3,8.0,5,0,2.0,4,0,4,1,3,0,12.0,5.0,6.0,12.0,175.25,0.2222222222222222,1051.5,0.4444444444444444,0.0,12.0
0,9.0,2,1,29.0,4,1,2.0,3,3,1,2,10,0,16.0,0.0,1.0,2.0,122.01,0.2857142857142857,122.01,0.4705882352941176,0.0,2.0
0,8.0,1,3,8.0,2,1,4.0,5,0,3,1,3,1,15.0,8.0,9.0,7.0,195.83,1.0,1762.47,0.7777777777777778,0.1,36.0
0,1.0,1,1,24.0,3,0,3.0,5,2,3,1,3,0,16.0,3.0,4.0,3.0,168.77,2.0,675.08,1.5,0.0,12.0
1,0.0,2,1,9.0,3,1,3.0,3,4,5,0,6,0,13.0,1.0,1.0,2.0,140.31,1.0,140.31,2.0,0.0,3.0
1,0.0,2,1,13.0,1,0,2.0,3,3,5,2,6,1,11.0,1.0,1.0,4.0,126.57,1.0,126.57,4.0,0.5,2.0
0,10.0,1,1,6.0,4,0,3.0,3,2,4,1,7,0,12.0,4.0,4.0,3.0,164.47,0.3636363636363636,657.88,0.2727272727272727,0.0,12.0
0,2.0,2,1,13.0,4,0,3.0,3,3,2,1,5,0,22.0,0.0,1.0,7.0,125.14,0.3333333333333333,125.14,2.333333333333333,0.0,3.0
1,14.0,2,1,13.0,4,1,2.0,3,3,3,0,10,1,12.0,1.0,2.0,7.0,124.61,0.1333333333333333,249.22,0.4666666666666667,0.3333333333333333,4.0
0,11.0,0,1,13.0,4,1,2.0,1,3,3,1,2,0,11.0,0.0,1.0,3.0,126.1,0.0833333333333333,126.1,0.25,0.0,2.0
1,10.0,0,3,15.0,4,1,2.0,5,1,3,1,8,0,11.0,1.0,14.0,3.0,229.36,1.2727272727272727,3211.04,0.4705882352941176,0.0,28.0
0,0.0,1,1,8.0,3,1,2.0,1,2,1,1,2,0,12.0,1.0,1.0,3.0,154.72,1.0,154.72,3.0,0.0,2.0
0,13.0,1,1,17.0,3,1,4.0,4,2,5,1,4,0,14.0,4.0,8.0,8.0,178.77,0.5714285714285714,1430.16,0.5714285714285714,0.0,32.0
0,6.0,1,1,21.0,3,0,3.0,3,2,1,1,1,1,13.0,5.0,8.0,1.0,12.0,1.1428571428571428,96.0,0.1428571428571428,0.1111111111111111,24.0
0,1.0,1,3,9.0,4,1,4.0,4,2,3,2,3,1,12.0,1.0,2.0,5.0,169.78,1.0,339.56,2.5,0.3333333333333333,8.0
0,26.0,1,1,9.0,4,0,3.0,5,4,1,2,9,0,16.0,3.0,3.0,3.0,157.12,0.1111111111111111,471.36,0.1111111111111111,0.0,9.0
1,0.0,0,3,13.0,5,0,2.0,5,3,3,1,1,0,16.0,0.0,1.0,0.0,123.51,1.0,123.51,0.0,0.0,2.0
0,6.0,0,3,13.0,3,1,2.0,3,2,5,0,1,0,14.0,0.0,1.0,3.0,143.73,0.1428571428571428,143.73,0.4285714285714285,0.0,2.0
1,9.0,0,3,6.0,4,0,2.0,5,4,3,2,2,0,12.0,1.0,1.0,0.0,113.59,0.2857142857142857,113.59,0.4705882352941176,0.0,2.0
0,8.0,1,1,15.0,4,0,3.0,4,0,3,0,2,1,20.0,2.0,5.0,15.0,206.85,0.5555555555555556,1034.25,1.6666666666666667,0.1666666666666666,15.0
0,4.0,1,1,14.0,4,1,3.0,4,2,3,1,3,0,14.0,9.0,9.0,10.0,159.91,1.8,1439.19,2.0,0.0,27.0
0,5.0,0,3,12.0,5,0,3.0,4,4,4,1,3,0,12.0,1.0,3.0,3.0,152.89,0.5,458.67,0.5,0.0,9.0
0,1.0,1,1,26.0,6,1,4.0,5,4,5,1,3,0,12.0,1.0,2.0,8.0,165.66,1.0,331.32,4.0,0.0,8.0
0,16.0,0,1,33.0,4,0,2.0,3,0,5,0,9,0,11.0,0.0,1.0,1.0,208.2,0.0588235294117647,208.2,0.0588235294117647,0.0,2.0
0,3.0,1,1,16.0,3,0,3.0,4,4,3,1,11,0,18.0,2.0,2.0,3.0,154.74,0.5,309.48,0.75,0.0,6.0
0,20.0,1,2,32.0,4,0,3.0,3,5,3,1,4,0,15.0,1.0,1.0,0.0,296.58,0.0476190476190476,296.58,0.0,0.0,3.0
0,10.0,1,1,9.0,3,1,4.0,4,4,3,2,6,0,22.0,3.0,4.0,10.0,150.19,0.3636363636363636,600.76,0.9090909090909092,0.0,16.0
0,15.0,1,1,14.0,3,0,3.0,4,2,3,2,8,0,15.0,2.0,3.0,2.0,175.03,0.1875,525.09,0.125,0.0,9.0
0,18.0,0,1,6.0,4,1,3.0,4,0,3,1,4,0,23.0,3.0,14.0,4.0,207.48,0.7368421052631579,2904.72,0.2105263157894736,0.0,42.0
0,1.0,2,3,9.0,0,0,3.0,3,3,4,1,2,0,19.0,1.0,1.0,0.0,128.56,0.5,128.56,0.0,0.0,6.0
0,26.0,0,3,127.0,4,1,3.0,4,4,1,1,4,0,16.0,2.0,2.0,1.0,159.82,0.074074074074074,319.64,0.037037037037037,0.0,6.0
0,6.0,1,1,6.0,3,0,3.0,2,1,3,1,5,0,19.0,1.0,1.0,5.0,261.84,0.1428571428571428,261.84,0.7142857142857143,0.0,3.0
0,4.0,1,3,22.0,5,1,4.0,5,0,5,1,4,0,12.0,2.0,2.0,8.0,196.4,0.4,392.8,1.6,0.0,8.0
0,18.0,2,3,26.0,4,0,2.0,3,2,3,2,9,0,15.0,0.0,1.0,1.0,148.5,0.0526315789473684,148.5,0.0526315789473684,0.0,2.0
0,11.0,2,1,12.0,6,0,2.0,4,4,3,1,2,0,11.0,1.0,1.0,4.0,137.02,0.0833333333333333,137.02,0.3333333333333333,0.0,2.0
0,11.0,2,1,10.0,0,0,2.0,3,3,3,1,8,0,19.0,0.0,1.0,0.0,133.06,0.0833333333333333,133.06,0.0,0.0,2.0
0,10.0,1,3,9.0,4,1,4.0,4,4,1,2,5,1,22.0,2.0,2.0,3.0,151.44,0.1818181818181818,302.88,0.2727272727272727,0.3333333333333333,8.0
0,22.0,1,1,14.0,6,0,2.0,3,0,4,1,5,0,11.0,0.0,1.0,7.0,174.03,0.0434782608695652,174.03,0.3043478260869565,0.0,2.0
1,20.0,1,1,8.0,4,1,2.0,3,5,4,2,8,1,15.0,7.0,13.0,8.0,292.46,0.6190476190476191,3801.98,0.3809523809523809,0.0714285714285714,26.0
0,19.0,1,1,7.0,6,1,4.0,3,5,2,0,2,0,15.0,2.0,2.0,8.0,317.02,0.1,634.04,0.4,0.0,8.0
0,9.0,2,1,13.0,0,1,3.0,3,3,3,2,5,0,21.0,1.0,3.0,9.0,125.19,0.3,375.57,0.9,0.0,9.0
0,22.0,2,3,17.0,5,0,3.0,3,2,1,2,4,0,12.0,0.0,1.0,4.0,145.07,0.0434782608695652,145.07,0.1739130434782608,0.0,3.0
1,3.0,0,3,30.0,4,0,3.0,1,1,4,2,5,1,16.0,1.0,2.0,0.0,231.94,0.2857142857142857,322.34,0.0,0.0,6.0
0,14.0,1,1,9.0,4,0,3.0,4,4,5,1,6,0,18.0,2.0,2.0,3.0,158.77,0.1333333333333333,317.54,0.2,0.0,6.0
0,14.0,1,1,9.0,3,0,4.0,5,2,3,1,8,0,23.0,2.0,2.0,1.0,159.48,0.1333333333333333,318.96,0.0666666666666666,0.0,8.0
0,1.0,0,2,6.0,4,1,3.0,3,3,1,1,2,0,15.0,0.0,2.0,2.0,127.06,1.0,254.12,1.0,0.0,6.0
0,1.0,1,1,14.0,6,1,4.0,2,4,5,2,2,0,13.0,2.0,2.0,8.0,160.78,1.0,321.56,4.0,0.0,8.0
0,9.0,1,1,9.0,4,1,3.0,1,2,5,1,7,0,20.0,0.0,1.0,4.0,168.42,0.1,168.42,0.4,0.0,3.0
0,7.0,0,1,16.0,3,1,2.0,3,4,3,1,2,1,17.0,2.0,2.0,0.0,138.15,0.25,276.3,0.0,0.3333333333333333,4.0
0,30.0,1,3,6.0,2,1,3.0,3,0,1,1,4,1,14.0,1.0,1.0,3.0,219.04,0.032258064516129,219.04,0.4705882352941176,0.5,3.0
0,10.0,1,1,6.0,4,0,3.0,3,2,4,0,7,0,12.0,3.0,4.0,3.0,164.47,0.3636363636363636,657.88,0.2727272727272727,0.0,12.0
0,3.0,1,1,15.0,3,1,4.0,5,2,2,0,3,1,14.0,1.0,2.0,3.0,175.56,0.5,351.12,0.75,0.3333333333333333,8.0
0,10.0,1,1,10.0,4,0,3.0,4,4,1,1,7,0,23.0,1.0,2.0,1.0,153.35,0.1818181818181818,306.7,0.0909090909090909,0.0,6.0
1,0.0,0,3,8.0,4,0,3.0,4,3,2,2,8,0,14.0,0.0,1.0,0.0,127.85,1.0,127.85,0.0,0.0,6.0
1,1.0,1,3,16.0,4,1,4.0,5,4,5,1,5,0,13.0,3.0,3.0,3.0,169.0,1.5,507.0,1.5,0.0,12.0
1,0.0,2,1,13.0,4,0,2.0,4,3,5,0,2,1,11.0,0.0,1.0,0.0,123.19,1.0,123.19,0.0,0.5,2.0
0,19.0,1,3,9.0,1,1,3.0,6,2,3,2,2,0,14.0,2.0,4.0,2.0,191.32,0.2,765.28,0.1,0.0,12.0
0,0.0,2,1,23.0,1,1,3.0,3,3,4,1,1,1,16.0,0.0,1.0,1.0,130.58,1.0,130.58,1.0,0.5,6.0
0,13.0,0,1,22.0,4,1,3.0,3,3,3,1,10,0,16.0,1.0,1.0,0.0,135.44,0.0714285714285714,135.44,0.0,0.0,3.0
0,8.0,1,3,28.0,4,1,4.0,3,2,2,2,3,0,13.0,6.0,6.0,8.0,178.37,0.6666666666666666,1070.22,0.8888888888888888,0.0,24.0
0,11.0,0,1,7.0,4,1,2.0,3,2,1,1,8,0,15.0,1.0,2.0,9.0,147.35,0.1666666666666666,294.7,0.75,0.0,4.0
0,13.0,1,1,19.0,3,1,4.0,4,2,4,1,6,0,22.0,2.0,2.0,1.0,177.95,0.1428571428571428,355.9,0.0714285714285714,0.0,8.0
0,7.0,1,1,15.0,3,0,2.0,4,0,4,2,2,0,14.0,4.0,7.0,7.0,186.21,0.875,1303.47,0.875,0.0,14.0
0,1.0,1,1,7.0,4,1,3.0,5,2,1,1,8,0,23.0,3.0,3.0,3.0,172.75,1.5,518.25,1.5,0.0,9.0
0,4.0,1,3,36.0,4,1,4.0,4,2,5,1,10,0,20.0,2.0,2.0,4.0,166.15,0.4,332.3,0.8,0.0,8.0
0,1.0,2,1,12.0,4,1,3.0,2,4,4,1,3,1,17.0,3.0,3.0,3.0,148.28,1.5,444.84,1.5,0.25,9.0
0,20.0,1,1,7.0,3,1,4.0,4,0,5,1,9,0,17.0,1.0,2.0,3.0,218.96,0.0952380952380952,437.92,0.4705882352941176,0.0,8.0
0,6.0,2,1,10.0,3,0,2.0,4,4,4,0,9,0,11.0,0.0,1.0,2.0,138.38,0.1428571428571428,138.38,0.2857142857142857,0.0,2.0
1,1.0,2,1,17.0,3,1,3.0,4,3,3,2,3,1,12.0,2.0,2.0,2.0,135.09,1.0,270.18,1.0,0.3333333333333333,6.0
1,0.0,2,1,8.0,3,1,2.0,3,4,3,2,7,0,17.0,0.0,2.0,1.0,143.82,2.0,287.64,1.0,0.0,4.0
0,18.0,1,3,17.0,4,0,2.0,3,1,1,1,4,0,13.0,1.0,1.0,1.0,276.5,0.0526315789473684,276.5,0.0526315789473684,0.0,2.0
0,9.0,1,1,32.0,6,1,3.0,5,2,2,2,6,0,15.0,1.0,2.0,3.0,161.81,0.2,323.62,0.3,0.0,6.0
0,2.0,1,3,9.0,3,0,3.0,3,2,3,1,2,0,14.0,0.0,1.0,2.0,155.61,0.3333333333333333,155.61,0.6666666666666666,0.0,3.0
0,15.0,0,1,13.0,0,1,2.0,3,3,2,2,6,1,14.0,0.0,2.0,2.0,125.15,0.125,250.3,0.125,0.3333333333333333,4.0
0,1.0,1,1,9.0,3,1,3.0,5,4,1,2,2,0,13.0,2.0,2.0,2.0,164.04,1.0,328.08,1.0,0.0,6.0
0,0.0,2,1,13.0,0,1,3.0,3,3,1,1,2,0,24.0,2.0,2.0,2.0,123.23,2.0,246.46,2.0,0.0,6.0
